Company Name,Symbol
ABB India Ltd.,ABB
Adani Energy Solutions Ltd.,ADANIENSOL
Adani Enterprises Ltd.,ADANIENT
Adani Green Energy Ltd.,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
Adani Total Gas Ltd.,ATGL
Ambuja Cements Ltd.,AMBUJACEM
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Asian Paints Ltd.,ASIANPAINT
Avenue Supermarts Ltd.,DMART
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bank of Baroda,BANKBARODA
Berger Paints India Ltd.,BERGEPAINT
Bharat Electronics Ltd.,BEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
Canara Bank,CANBK
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cipla Ltd.,CIPLA
Coal India Ltd.,COALINDIA
Colgate Palmolive (India) Ltd.,COLPAL
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
GAIL (India) Ltd.,GAIL
Godrej Consumer Products Ltd.,GODREJCP
Grasim Industries Ltd.,GRASIM
HCL Technologies Ltd.,HCLTECH
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
Havells India Ltd.,HAVELLS
Hero MotoCorp Ltd.,HEROMOTOCO
Hindalco Industries Ltd.,HINDALCO
Hindustan Aeronautics Ltd.,HAL
Hindustan Unilever Ltd.,HINDUNILVR
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
ITC Ltd.,ITC
Indian Oil Corporation Ltd.,IOC
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC
Indian Railway Finance Corporation Ltd.,IRFC
IndusInd Bank Ltd.,INDUSINDBK
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
InterGlobe Aviation Ltd.,INDIGO
JSW Steel Ltd.,JSWSTEEL
Jindal Steel & Power Ltd.,JINDALSTEL
Jio Financial Services Ltd.,JIOFIN
Kotak Mahindra Bank Ltd.,KOTAKBANK
LTIMindtree Ltd.,LTIM
Larsen & Toubro Ltd.,LT
Life Insurance Corporation of India,LICI
Mahindra & Mahindra Ltd.,M&M
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
NTPC Ltd.,NTPC
Nestle India Ltd.,NESTLEIND
Oil & Natural Gas Corporation Ltd.,ONGC
Pidilite Industries Ltd.,PIDILITIND
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Punjab National Bank,PNB
REC Ltd.,RECLTD
Reliance Industries Ltd.,RELIANCE
SBI Cards and Payment Services Ltd.,SBICARD
SBI Life Insurance Company Ltd.,SBILIFE
SRF Ltd.,SRF
Samvardhana Motherson International Ltd.,MOTHERSON
Shree Cement Ltd.,SHREECEM
Shriram Finance Ltd.,SHRIRAMFIN
Siemens Ltd.,SIEMENS
State Bank of India,SBIN
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
TVS Motor Company Ltd.,TVSMOTOR
Tata Consultancy Services Ltd.,TCS
Tata Consumer Products Ltd.,TATACONSUM
Tata Motors Ltd DVR,TATAMTRDVR
Tata Motors Ltd.,TATAMOTORS
Tata Power Co. Ltd.,TATAPOWER
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
Titan Company Ltd.,TITAN
Torrent Pharmaceuticals Ltd.,TORNTPHARM
Trent Ltd.,TRENT
UltraTech Cement Ltd.,ULTRACEMCO
United Spirits Ltd.,MCDOWELL-N
Varun Beverages Ltd.,VBL
Vedanta Ltd.,VEDL
Wipro Ltd.,WIPRO
Zomato Ltd.,ZOMATO
Zydus Lifesciences Ltd.,ZYDUSLIFE
